,1,2,3,4,5,6,7
222,582208000.0,,,,,,
223,2596714360.0,,,,,,
224,99303007.0,,,,,,
225,10017183.0,,,,,,
226,57551206.0,,,,,,
227,60256888.0,,,,,,
228,541062953.0,,,,,,
229,1994321008.0,,,,,,
230,32510418.0,,,,,,
231,6426444360.0,,,,,,
232,6281967328.0,,,,,,
233,119585669.0,,,,,,
234,124738921.0,,,,,,
235,224831007.0,,,,,,
236,498379544.0,,,,,,
237,332637898.0,,,,,,
238,1849300.0,,,,,,
239,83760396.0,,,,,,
240,27143827258.0,,,,,,
241,303270714.0,,,,,,
242,154968233.0,,,,,,
243,311936395.0,,,,,,
244,19107573409.0,,,,,,
245,107782859.0,,,,,,
246,489922887.0,,,,,,
247,360483837.0,,,,,,
248,10054835069.0,,,,,,
249,46337772.0,,,,,,
250,76479960.0,,,,,,
251,106558475.0,,,,,,
252,48019493.0,,,,,,
253,102051127.0,,,,,,
254,,,,,,15000000000000.0,
255,,,,,,,41963271167.0
256,,,,,,,380414828.0
257,32256467.0,,,,,,
258,259617027.0,,,,,,
259,,,,,,52647506.0,
260,,,,,,88676872.0,
261,,,,,,110208920.0,
262,,,,,,,88676872.0
263,,,,,,24452924.0,
264,,,,,,11011775.0,
265,,,,,,,14378671.0
266,,,,,,,820627790.0
267,,,,,,,3396791243.0
268,,,,,,3537163.0,
269,,,,,,55963301.0,
270,,,,,,,249816822.0
271,,,,,,99402396237.0,
272,,,,,,41376931.0,
273,,,,,,,1000600511.0
274,,,,,,304216828.0,
275,,,,,,,211272283.0
276,,,,,,1460881394.0,
277,,,,,,,1460881394.0
278,,,,,,4066235314.0,
279,5000200831.0,,,,,,
280,99326539.0,,,,,,
281,32229162.0,,,,,,
282,53381013.0,,,,,,
283,104530343.0,,,,,,
284,267245739.0,,,,,,
285,491376156.0,,,,,,
286,12516036.0,,,,,,
287,1189900913.0,,,,,,
288,600501694.0,,,,,,
289,10394797946.0,,,,,,
290,109567586528.0,,,,,,
291,,,,,,,29825358.0
292,,,,,,,331608011.0
293,,,,,,4571462480.0,
294,20892486.0,,,,,,
295,24630653.0,,,,,,
296,,,,,,102011349.0,
297,4860304470.0,,,,,,
298,99439053.0,,,,,,
299,1136797171.0,,,,,,
300,7342560.0,,,,,,
301,3454871070.0,,,,,,
302,83063430489.0,,,,,,
303,512811690.0,,,,,,
304,137765108942.0,,,,,,
305,300067129.0,,,,,,
306,1427956063.0,,,,,,
307,69848389625.0,,,,,,
308,326583138.0,,,,,,
309,1841926492.0,,,,,,
310,1368007797.0,,,,,,
311,2375067835.0,,,,,,
312,43608702.0,,,,,,
313,25152687.0,,,,,,
314,5171754765.0,,,,,,
315,29260567351.0,,,,,,
316,1156330131.0,,,,,,
317,474507016.0,,,,,,
318,48503539.0,,,,,,
319,24751268194.0,,,,,,
320,29825358.0,,,,,,
321,350364786.0,,,,,,
322,3008503430.0,,,,,,
323,251666474.0,,,,,,
324,6951456611.0,,,,,,
325,100920848.0,,,,,,
326,241913675.0,,,,,,
327,131029893.0,,,,,,
328,297390140.0,,,,,,
329,551105704.0,,,,,,
330,184425511.0,,,,,,
331,356881753.0,,,,,,
332,143118690.0,,,,,,
333,,,,,,8387656.0,
334,,,,,,380414828.0,
335,1304654711.0,,,,,,
336,1001843328.0,,,,,,
337,,,,,,20141033323.0,
338,,,,,,3718552.0,
339,,,,,,,27616357.0
340,,,,,,5067575103.0,
341,,,,,,,129037978.0
342,1992808495.0,,,,,,
343,1232888666.0,,,,,,
344,70039598.0,,,,,,
345,655962743.0,,,,,,
346,,,,,,,2737714776.0
347,,,,,,147102973.0,
348,,,,,,,122162562.0
349,,,,,,122162562.0,
350,,,,,,,321988003.0
351,,,,,,12937530841.0,
352,,,,,,,2000323886.0
353,,,,,,3973061591.0,
354,,,,,,,1314647689.0
355,,,,,,661166200.0,
356,,,,,,321988003.0,
357,,,,,,2000323886.0,
358,,,,,,,3973061591.0
359,,,,,,,12937530841.0
360,,,,,,,3800123739.0
361,,,,,,,79485112.0
362,,,,,,1367467.0,
363,,,,,,18217899.0,
364,,,,,,5000200831.0,
365,418643810.0,,,,,,
366,,,,,,,25296966.0
367,,,,,,100614891.0,
368,,,,,,193183131.0,
369,,,,,,,14827157.0
370,,,,,,,49827926.0
371,,,,,,9500714.0,
372,36831468.0,,,,,,
373,2340045255.0,,,,,,
374,302991323992.0,,,,,,
375,598728162.0,,,,,,
376,340006470.0,,,,,,
377,32206341337.0,,,,,,
378,195325110.0,,,,,,
379,920321287.0,,,,,,
380,525734908.0,,,,,,
381,15023774.0,,,,,,
382,1448014286.0,,,,,,
383,166161073.0,,,,,,
